Identifier,Title,OBJECT_ID,OBJECT_PORTFOLIO_ID,Target,TargetService,Coverage,Unique coverage (compared to other set),Status
0001-5113,Acta Adriatica,1.10979E+14,1E+15,EBSCOhost Academic Search Complete,getFullTxt,-2007,,ACTIVE
0001-5113,Acta Adriatica,1.10979E+14,1E+15,EBSCOhost Environment Complete,getFullTxt,-2007,,ACTIVE
0002-7294,American Anthropologist,9.54925E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1997,,ACTIVE
0002-7294,American Anthropologist,9.54925E+11,1.11046E+14,JSTOR Arts and Sciences II,getFullTxt,1888-2013,,ACTIVE
0002-7294,American Anthropologist,9.54925E+11,1E+15,MacEwan EBSCO Electronic Journals Service,getFullTxt,2008-2013,,ACTIVE
0002-7642,American Behavioral Scientist,9.54925E+11,2.55E+15,ABI/INFORM Collection,getFullTxt,1986-1994,,ACTIVE
0002-7642,American Behavioral Scientist,9.54925E+11,2.55E+15,ABI/INFORM Collection,getFullTxt,1960-1985,,ACTIVE
0002-7642,American Behavioral Scientist,9.54925E+11,2.55E+15,ABI/INFORM Collection,getFullTxt,1995-2007,,ACTIVE
0002-7642,American Behavioral Scientist,9.54925E+11,2.56E+15,SAGE Complete Deep Backfile Purchase 2015,getFullTxt,1960-1998,,ACTIVE
0002-7642,American Behavioral Scientist,9.54925E+11,1E+15,SAGE Sociology FTC,getFullTxt,-1960,,ACTIVE
0002-7642,American Behavioral Scientist,9.54925E+11,2.56E+15,Sage CRKN Collection,getFullTxt,-1999,,ACTIVE
0002-7685,The American Biology Teacher,9.54925E+11,1E+15,EBSCOhost Academic Search Complete,getFullTxt,2005-2011,,ACTIVE
0002-7685,The American Biology Teacher,9.54925E+11,1E+15,EBSCOhost Education Research Complete,getFullTxt,2005-2011,,ACTIVE
0002-7685,The American Biology Teacher,9.54925E+11,1E+15,JSTOR Life Sciences Collection,getFullTxt,1938-2017,,ACTIVE
0002-7685,The American Biology Teacher,9.54925E+11,2.55E+15,MacEwan EBSCO Electronic Journals Service,getFullTxt,1994-2006,,ACTIVE
0002-9092,American Journal of Agricultural Economics,9.54921E+11,1E+15,EBSCOhost Business Source Complete,getFullTxt,1968-2020,,ACTIVE
0002-9092,American Journal of Agricultural Economics,9.54921E+11,1.11099E+14,JSTOR Arts and Sciences VII,getFullTxt,1968-2015,,ACTIVE
