Identifier,Title,OBJECT_ID,OBJECT_PORTFOLIO_ID,Target,TargetService,Coverage,Status
0001-6977,ACTA SOCIETATIS BOTANICORUM POLONIAE,9.54925E+11,2.67E+15,EBSCOhost Academic Search Complete,getFullTxt,-2011,ACTIVE
0001-706X,Acta tropica,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1989,ACTIVE
0002-8444,American Fern Journal,9.54925E+11,1E+15,JSTOR Life Sciences Collection,getFullTxt,1910-2017,ACTIVE
0002-8487,Transactions of the American Fisheries Society,9.54925E+11,4.1E+15,MacEwan EBSCO Electronic Journals Service,getFullTxt,2011-2013,ACTIVE
0002-9122,American Journal of Botany,9.54925E+11,1E+15,JSTOR Life Sciences Collection,getFullTxt,1914-2015,ACTIVE
0003-3472,Animal behaviour,9.54923E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1958,ACTIVE
0003-4088,Annales de Limnologie = International Journal of Limnology,9.54925E+11,2.67E+15,EBSCOhost Academic Search Complete,getFullTxt,-2011,ACTIVE
0003-6862,Applied Entomology and Zoology,9.54925E+11,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2011,ACTIVE
0005-1098,Automatica (Oxford),9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1963,ACTIVE
0006-3088,Biologia,9.54925E+11,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2006,ACTIVE
0006-3185,Biological Bulletin,9.54925E+11,1E+15,JSTOR Life Sciences Collection,getFullTxt,1899-2015,ACTIVE
0006-3207,Biological conservation,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1968,ACTIVE
0007-4853,Bulletin of Entomological Research,9.54925E+11,3.24E+15,CRKN Cambridge University Press Journals,getFullTxt,-1999,ACTIVE
0008-3976,Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie,9.54925E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1997,ACTIVE
0008-4271,Canadian Journal of Soil Science,9.54925E+11,1.11083E+14,Canadian Science Publishing (NRC Research Press) Current,getFullTxt,1957-2012,ACTIVE
0010-4159,Comparative Politics,9.54925E+11,1.11025E+14,JSTOR Arts and Sciences II,getFullTxt,1968-2019,ACTIVE
0010-4620,The Computer Journal,9.54925E+11,4.33E+15,CRKN Oxford University Press Current,getFullTxt,-1996,ACTIVE
0011-3891,Current Science,9.54925E+11,1E+15,EBSCOhost Academic Search Complete,getFullTxt,-2006,ACTIVE
0011-9164,Desalination (Amsterdam),9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1966,ACTIVE
0012-8252,Earth-science reviews,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1966,ACTIVE
0013-8703,Entomologia Experimentalis et Applicata,9.54925E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1997,ACTIVE
0013-9351,"Environmental research (New York, N.Y. Print)",9.54923E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1967,ACTIVE
0014-0015,Erdkunde,1.10986E+14,2.67E+15,JSTOR Arts and Sciences IX,getFullTxt,1947-2019,ACTIVE
0014-3065,Potato Research,9.54925E+11,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-1997,ACTIVE
0014-4797,Experimental Agriculture,9.54925E+11,3.24E+15,CRKN Cambridge University Press Journals,getFullTxt,-1997,ACTIVE
0016-3287,Futures (London),9.54921E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1969,ACTIVE
0016-6480,General and comparative endocrinology,9.54923E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1962,ACTIVE
0016-7061,Geoderma (Amsterdam),9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1967,ACTIVE
0016-7185,Geoforum,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1970,ACTIVE
0016-7223,Geografisk Tidsskrift,1.10986E+14,3.81E+15,Taylor & Francis CRKN Social Science and Humanities,getFullTxt,-1997,ACTIVE
